# vim: ts=32

Album	"Sewer Goddess / Diseased Oblivion"
Album Artist	"Sewer Goddess / Diseased Oblivion"
Artist	"Sewer Goddess"
Artwork Count	1
Bit Rate	192
Comments	"…"
Compilation	true
Composer	"Kristen Rose"
Date Added	2015-02-20T13:40:32Z
Date Modified	2015-02-20T13:36:39Z
Disabled	true
Disc Count	1
Disc Number	1
File Folder Count	3
File Type	1297106739 (???)
Genre	"Black Metal"
Grouping	"Blackened Thrash"
Kind	"MPEG audio file"
Library Folder Count	2
Location	"file:///Users/johngardner/Music/Sewer%20Goddess/Sewer%20Goddess%20:%20Diseased%20Oblivion/02%20A%20Lifeless%20Dreaming.mp3"
Name	"A Lifeless Dreaming"
Part Of Gapless Album	true
Persistent ID	B705EA7C1BDD26B5
Play Count	1
Play Date	3515417033
Play Date UTC	2015-05-25T06:43:53Z
Release Date	2013-01-01T12:00:00Z
Sample Rate	44100
Size	12476425
Skip Count	3
Skip Date	2017-02-11T21:19:20Z
Sort Album	"Dejection Veil"
Sort Album Artist	"Kill"
Sort Artist	"Kill"
Sort Composer	"Demon Sheen"
Sort Name	"Lifeless Dreaming"
Start Time	11571
Stop Time	530000
Total Time	538383
Track Count	5
Track ID	5154
Track Number	1
Track Type	"File"
Volume Adjustment	97
Work	"Blackened Thrash" (???)
Year	2017

Album	"Sewer Goddess / Diseased Oblivion"
Album Artist	"Sewer Goddess / Diseased Oblivion"
Artist	"Sewer Goddess"
Artwork Count	1
Bit Rate	192
Date Added	2015-02-20T13:40:32Z
Date Modified	2015-02-20T13:36:39Z
Disc Count	1
Disc Number	1
File Folder Count	3
Genre	"Death Industrial"
Kind	"MPEG audio file"
Library Folder Count	2
Location	"file:///Users/johngardner/Music/Sewer%20Goddess/Sewer%20Goddess%20:%20Diseased%20Oblivion/02%20A%20Lifeless%20Dreaming.mp3"
Name	"A Lifeless Dreaming"
Persistent ID	"B705EA7C1BDD26B5"
Play Count	1
Play Date	3515417033
Play Date UTC	2015-05-25T06:43:53Z
Sample Rate	44100
Size	14684852
Sort Name	"Lifeless Dreaming"
Total Time	609436
Track Count	5
Track ID	562
Track Number	2
Track Type	"File"
Year	2009
